,Index,Age,Workclass,fnlwgt,Education,Education.num,Marital.status,Occupation,Relationship,Race,Sex,Capital.gain,Capital.loss,Hours.per.week,Native.country,Income,Counterfactual.request,Counterfactual Request
21,21,37,Federal-gov,22201,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,7298,0,40,United States,>50K,,race
1,1,19,Private,323605,7th-8th,4,Never-married,Other-service,Not-in-family,White,Male,0,0,60,United-States,>50K,age,
1,1,25,Private,323605,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K,age,
2,2,21,Private,216070,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,0,0,46,United-States,>50K,age,
2,2,31,Private,216070,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,0,0,40,United-States,>50K,,age
3,3,21,Private,548303,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,40,Mexico,>50K,age,
3,3,35,Private,548303,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,>50K,age,
4,4,47,Private,138107,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2258,40,United-States,>50K,age,
4,4,67,Private,138107,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2258,35,United-States,>50K,age,
5,5,26,Private,279833,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,45,United-States,>50K,age,
5,5,29,Private,279833,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2258,50,United-States,>50K,age,
6,6,23,Private,102942,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,2258,40,United-States,>50K,age,
6,6,43,Private,102942,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,2258,35,United-States,<=50K,age,
7,7,57,Private,121362,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,38,United-States,>50K,age,
7,7,37,Private,121362,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,1129,35,United-States,<=50K,age,
8,8,44,Federal-gov,29591,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,0,2258,40,United-States,>50K,age,
8,8,54,Federal-gov,29591,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,0,2258,40,United-States,>50K,age,
9,9,49,State-gov,269417,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,50,United-States,>50K,age,
9,9,62,State-gov,269417,Doctorate,16,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2258,40,United-States,>50K,age,
10,10,67,Private,118363,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,2206,5,United-States,<=50K,age,
10,10,37,Private,135174,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,1500,40,United-States,<=50K,age,
11,11,66,Local-gov,362165,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,25,United-States,<=50K,age,
11,11,58,Local-gov,362165,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,31,United-States,<=50K,age,
12,12,44,Self-emp-not-inc,171424,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,2205,35,United-States,<=50K,age,
12,12,54,Self-emp-not-inc,171424,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,2205,40,United-States,<=50K,,age
13,13,20,Private,107801,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,0,2205,18,United-States,<=50K,age,
13,13,25,Private,107801,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,0,2205,20,United-States,<=50K,age,
14,14,39,Private,155603,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,2205,40,United-States,<=50K,age,
14,14,54,Private,155603,Bachelor's,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,2205,35,United-States,>50K,age,
15,15,32,Private,27882,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Female,0,2205,40,Holand-Netherlands,<=50K,age,
15,15,42,Private,27882,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2205,45,Holand-Netherlands,>50K,age,
16,16,42,Private,242564,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2205,40,United-States,<=50K,age,
16,16,52,Private,242564,High School graduate,9,Divorced,Protective-serv,Not-in-family,Black,Male,0,2205,38,United-States,<=50K,age,
17,17,64,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,age,
17,17,42,Private,181232,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2179,45,United-States,>50K,age,
18,18,28,Private,166481,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,2179,40,Puerto-Rico,<=50K,age,
18,18,45,Private,166481,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,2179,40,Puerto-Rico,<=50K,age,
19,19,41,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,84,Mexico,<=50K,age,
19,19,51,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,40,Mexico,<=50K,age,
20,20,41,Self-emp-not-inc,144594,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,age,
20,20,51,Self-emp-not-inc,144594,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,age,
