,Index,Age,Workclass,fnlwgt,Education,Education.num,Marital.status,Occupation,Relationship,Race,Sex,Capital.gain,Capital.loss,Hours.per.week,Native.country,Income,Counterfactual.request
14,14,43,Self-emp-inc,188436,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,5013,0,45,United-States,<=50K,sex
14,14,43,Self-emp-inc,188436,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,3013,0,30,United-States,<=50K,
15,15,54,Private,398212,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,5013,0,40,United-States,<=50K,sex
15,15,54,Private,398212,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,Black,Female,2340,0,30,United-States,<=50K,
16,16,45,Self-emp-not-inc,256866,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,5013,0,40,United-States,<=50K,sex
16,16,45,Self-emp-not-inc,256866,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,3013,0,35,United-States,<=50K,sex
17,17,47,Private,326857,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,40,United-States,<=50K,sex
17,17,47,Private,326857,Assoc-voc,11,Divorced,Administrative-services,Wife,White,Female,2819,0,35,United-States,<=50K,
18,18,65,Self-emp-inc,81413,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,65,United-States,<=50K,sex
18,18,65,Self-emp-inc,81413,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,2352,40,United-States,<=50K,
19,19,66,Local-gov,36364,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2267,40,United-States,<=50K,sex
19,19,66,Local-gov,36364,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,0,1201,35,United-States,<=50K,
20,20,69,Private,124930,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2267,40,United-States,<=50K,sex
20,20,69,Private,124930,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,-1237,20,United-States,<=50K,
21,21,64,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,sex
21,21,64,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Wife,White,Female,0,2179,30,United-States,<=50K,
22,22,28,Private,166481,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,2179,40,Puerto-Rico,<=50K,sex
22,22,28,Private,166481,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Wife,Other,Female,0,2179,30,Puerto-Rico,<=50K,
23,23,41,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,84,Mexico,<=50K,sex
23,23,41,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Sales,Wife,Other,Female,0,2179,60,Mexico,<=50K,sex
1,1,41,Self-emp-not-inc,144594,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,race
1,1,41,Self-emp-not-inc,144594,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,2179,40,United-States,<=50K,race
2,2,27,Private,116358,Some-college,10,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,0,1980,40,Philippines,<=50K,race
2,2,27,Private,116358,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,1980,40,Philippines,<=50K,
3,3,21,Private,109414,Some-college,10,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,1974,40,United-States,<=50K,race
3,3,21,Private,109414,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,1974,40,United-States,<=50K,race
4,4,27,Private,292472,Some-college,10,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,1876,45,Cambodia,<=50K,race
4,4,27,Private,292472,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,0,1876,30,Cambodia,<=50K,
5,5,38,Local-gov,123983,Bachelors,13,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,1741,40,Vietnam,<=50K,race
5,5,38,Local-gov,123983,Bachelors,13,Never-married,Exec-managerial,Unmarried,White,Male,0,1741,40,United States,<=50K,race
6,6,46,Private,138370,7th-8th,4,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,1651,40,China,<=50K,race
6,6,46,Private,138370,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,1651,40,China,<=50K,race
7,7,51,Federal-gov,223206,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,15024,0,40,Vietnam,>50K,race
7,7,51,Federal-gov,223206,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,-12590,30,Vietnam,>50K,
8,8,23,Private,106957,11th,7,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,14344,0,40,Vietnam,>50K,race
8,8,23,Private,106957,11th,7,Never-married,Craft-repair,Own-child,White,Male,14344,0,40,Vietnam,>50K,race
9,9,34,Private,160261,HS-grad,9,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,14084,0,35,China,>50K,race
9,9,34,Private,160261,HS-grad,9,Never-married,Tech-support,Own-child,White,Male,14084,0,35,United States,>50K,race
10,10,40,Private,121956,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,13550,0,40,Cambodia,>50K,race
10,10,40,Private,121956,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,13550,0,40,Cambodia,>50K,race
11,11,27,Private,186454,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,13550,0,40,United-States,>50K,race
11,11,27,Private,186454,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,13550,0,40,United-States,>50K,race
12,12,34,Private,96483,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,8614,0,60,United-States,>50K,race
12,12,34,Private,96483,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male,12000,-3326,40,United-States,>50K,race
13,13,24,Private,243190,Assoc-acdm,12,Separated,Craft-repair,Unmarried,Asian-Pac-Islander,Male,8614,0,40,United-States,>50K,race
13,13,24,Private,243190,Assoc-acdm,12,Separated,Craft-repair,Unmarried,White,Male,8614,0,40,United-States,>50K,
14,14,33,Private,274222,Bachelors,13,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,7688,0,38,United-States,>50K,race
14,14,33,Private,274222,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,7688,0,38,United-States,>50K,race
15,15,50,Self-emp-inc,156623,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7688,0,50,Philippines,>50K,race
15,15,40,Self-emp-inc,156623,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1501,40,United States,>50K,
16,16,40,Private,177027,Bachelors,13,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,7688,0,52,Japan,>50K,race
16,16,40,Private,177027,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,3811,0,32,Japan,>50K,race
17,17,53,Self-emp-not-inc,135339,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,7688,0,20,China,>50K,race
17,17,53,Self-emp-not-inc,135339,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,China,>50K,race
18,18,38,State-gov,125499,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7688,0,60,India,>50K,race
18,18,38,State-gov,125499,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,60,India,>50K,RACE
19,19,34,Private,142897,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,7298,0,35,Taiwan,>50K,race
19,19,34,Private,142897,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,50,Taiwan,>50K,race
20,20,54,Private,225599,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7298,0,40,India,>50K,race
20,20,54,Private,225599,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,40,India,>50K,race
21,21,37,Federal-gov,22201,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,7298,0,40,Philippines,>50K,race
21,21,37,Federal-gov,22201,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United States,>50K,
1,1,19,Private,323605,7th-8th,4,Never-married,Other-service,Not-in-family,White,Male,0,0,60,United-States,>50K,age
1,1,18,Private,323605,7th-8th,4,Never-married,Other-service,Not-in-family,White,Male,0,0,50,United-States,>50K,age
2,2,21,Private,216070,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,0,0,46,United-States,>50K,age
2,2,45,Private,216070,Bachelors,14,Divorced,Craft-repair,Wife,Amer-Indian-Eskimo,Female,5000,-12000,30,United-States,>50K,
3,3,21,Private,548303,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,40,Mexico,>50K,age
3,3,31,Private,548303,Bachelor's,13,Divorced,Craft-repair,Unmarried,White,Female,0,0,20,United States,<=50K,
4,4,47,Private,138107,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2258,40,United-States,>50K,age
4,4,42,Private,138107,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,2258,50,United-States,>50K,
5,5,26,Private,279833,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,45,United-States,>50K,age
5,5,32,Private,279833,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2258,45,United-States,>50K,age
6,6,23,Private,102942,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,2258,40,United-States,>50K,age
6,6,25,Private,102942,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,2258,40,United-States,>50K,
7,7,57,Private,121362,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,38,United-States,>50K,age
7,7,42,Private,121362,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,38,United-States,>50K,age
8,8,44,Federal-gov,29591,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,0,2258,40,United-States,>50K,age
8,8,32,Federal-gov,29591,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,0,2258,40,United-States,>50K,
9,9,49,State-gov,269417,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,50,United-States,>50K,age
9,9,45,State-gov,269417,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,50,United-States,>50K,age
10,10,67,Private,118363,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,2206,5,United-States,<=50K,age
10,10,72,Private,118363,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,2206,40,United-States,<=50K,age
11,11,66,Local-gov,362165,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,25,United-States,<=50K,age
11,11,61,Local-gov,362165,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,25,United-States,<=50K,
12,12,44,Self-emp-not-inc,171424,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,2205,35,United-States,<=50K,age
12,12,32,Self-emp-not-inc,171424,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,2205,40,United-States,<=50K,
13,13,20,Private,107801,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,0,2205,18,United-States,<=50K,age
13,13,30,Private,107801,Bachelor's,14,Never-married,Craft-repair,Own-child,White,Female,0,-3005,40,United-States,<=50K,age
14,14,39,Private,155603,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,2205,40,United-States,<=50K,age
14,14,42,Private,155603,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,2205,40,United-States,<=50K,
15,15,32,Private,27882,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Female,0,2205,40,Holand-Netherlands,<=50K,age
15,15,42,Private,27882,Bachelor's,13,Divorced,Craft-repair,Wife,White,Female,-3200,2205,30,Holand-Netherlands,<=50K,
16,16,42,Private,242564,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2205,40,United-States,<=50K,age
16,16,55,Private,242564,HS-grad,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,2205,40,United-States,<=50K,age
17,17,64,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,age
17,17,65,Private,181232,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,age
18,18,28,Private,166481,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,2179,40,Puerto-Rico,<=50K,age
18,18,30,Private,166481,9th,7,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,2179,40,Puerto-Rico,<=50K,
19,19,41,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,84,Mexico,<=50K,age
19,19,31,Self-emp-inc,139916,Assoc-voc,11,Single,Sales,Husband,Other,Male,0,2179,84,Mexico,<=50K,
20,20,41,Self-emp-not-inc,144594,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,age
20,20,32,Self-emp-not-inc,144594,7th-8th,4,Never-married,Craft-repair,Unmarried,White,Male,0,2179,40,United-States,<=50K,age
